,Age,Education,Income,Occupation,Settlement size,Sex_Female,Sex_Male,Marital status_Married,Marital status_Single
0,67,2.0,124670,1.0,2.0,0.0,1.0,0.0,1.0
1,22,1.0,150773,1.0,2.0,1.0,0.0,1.0,0.0
2,49,1.0,89210,0.0,0.0,0.0,1.0,0.0,1.0
3,45,1.0,171565,1.0,1.0,0.0,1.0,0.0,1.0
4,53,1.0,149031,1.0,1.0,0.0,1.0,0.0,1.0
5,35,1.0,144848,0.0,0.0,0.0,1.0,0.0,1.0
6,53,1.0,156495,1.0,1.0,0.0,1.0,0.0,1.0
7,35,1.0,193621,2.0,1.0,0.0,1.0,0.0,1.0
8,61,2.0,151591,0.0,0.0,0.0,1.0,1.0,0.0
9,28,1.0,174646,2.0,0.0,0.0,1.0,1.0,0.0
10,25,1.0,108469,1.0,0.0,1.0,0.0,1.0,0.0
11,24,1.0,127596,1.0,0.0,1.0,0.0,1.0,0.0
12,22,1.0,108687,1.0,2.0,1.0,0.0,1.0,0.0
13,60,2.0,89374,0.0,0.0,0.0,1.0,0.0,1.0
14,28,1.0,102899,1.0,1.0,1.0,0.0,1.0,0.0
15,32,1.0,88428,0.0,0.0,1.0,0.0,1.0,0.0
16,53,1.0,125550,1.0,0.0,0.0,1.0,0.0,1.0
17,25,0.0,157434,1.0,2.0,0.0,1.0,0.0,1.0
18,44,2.0,261952,2.0,2.0,1.0,0.0,1.0,0.0
19,31,0.0,144657,1.0,1.0,0.0,1.0,0.0,1.0
20,48,1.0,118777,1.0,1.0,0.0,1.0,0.0,1.0
21,44,1.0,147511,1.0,1.0,0.0,1.0,0.0,1.0
22,48,1.0,89804,0.0,0.0,0.0,1.0,0.0,1.0
23,44,1.0,134918,1.0,2.0,0.0,1.0,0.0,1.0
24,26,1.0,103667,1.0,2.0,0.0,1.0,1.0,0.0
25,36,1.0,71909,0.0,0.0,0.0,1.0,0.0,1.0
26,39,1.0,68264,0.0,0.0,0.0,1.0,1.0,0.0
27,42,2.0,163025,1.0,1.0,1.0,0.0,1.0,0.0
28,34,1.0,119307,1.0,1.0,0.0,1.0,0.0,1.0
29,63,2.0,175882,1.0,0.0,0.0,1.0,0.0,1.0
30,36,1.0,159646,1.0,1.0,0.0,1.0,1.0,0.0
31,27,0.0,120131,1.0,1.0,0.0,1.0,0.0,1.0
32,30,0.0,162745,1.0,2.0,0.0,1.0,0.0,1.0
33,57,2.0,87605,0.0,0.0,0.0,1.0,0.0,1.0
34,33,1.0,155569,2.0,1.0,1.0,0.0,1.0,0.0
35,25,0.0,104505,0.0,0.0,0.0,1.0,0.0,1.0
36,31,0.0,143385,1.0,2.0,0.0,1.0,0.0,1.0
37,37,1.0,127676,1.0,1.0,0.0,1.0,0.0,1.0
38,37,1.0,119276,1.0,1.0,0.0,1.0,0.0,1.0
39,24,0.0,92542,1.0,1.0,0.0,1.0,0.0,1.0
40,30,0.0,163329,2.0,1.0,0.0,1.0,0.0,1.0
41,26,1.0,130921,1.0,0.0,0.0,1.0,1.0,0.0
42,44,1.0,133658,0.0,0.0,0.0,1.0,0.0,1.0
43,24,1.0,155104,1.0,1.0,0.0,1.0,1.0,0.0
44,58,2.0,142335,0.0,1.0,1.0,0.0,1.0,0.0
45,35,1.0,138387,2.0,1.0,1.0,0.0,1.0,0.0
46,39,1.0,140182,1.0,0.0,0.0,1.0,0.0,1.0
47,23,1.0,65421,0.0,0.0,1.0,0.0,1.0,0.0
48,39,1.0,130500,0.0,0.0,0.0,1.0,0.0,1.0
49,28,1.0,122831,1.0,0.0,1.0,0.0,1.0,0.0
50,29,0.0,84531,0.0,0.0,0.0,1.0,0.0,1.0
51,30,0.0,180196,2.0,2.0,0.0,1.0,0.0,1.0
52,25,0.0,92058,1.0,2.0,0.0,1.0,0.0,1.0
53,31,0.0,117158,1.0,0.0,0.0,1.0,0.0,1.0
54,57,2.0,135830,1.0,1.0,0.0,1.0,0.0,1.0
55,26,0.0,58258,0.0,0.0,0.0,1.0,0.0,1.0
56,52,1.0,202575,2.0,2.0,0.0,1.0,0.0,1.0
57,31,1.0,183657,1.0,1.0,1.0,0.0,1.0,0.0
58,23,1.0,152267,2.0,1.0,1.0,0.0,1.0,0.0
59,23,1.0,115240,0.0,0.0,1.0,0.0,1.0,0.0
60,27,1.0,106955,1.0,2.0,0.0,1.0,1.0,0.0
61,50,1.0,123641,1.0,1.0,0.0,1.0,0.0,1.0
62,61,2.0,166410,2.0,1.0,0.0,1.0,0.0,1.0
63,25,0.0,227385,1.0,2.0,0.0,1.0,0.0,1.0
64,26,1.0,118372,1.0,1.0,1.0,0.0,1.0,0.0
65,48,1.0,148115,1.0,1.0,0.0,1.0,0.0,1.0
66,29,1.0,111069,1.0,0.0,1.0,0.0,1.0,0.0
67,22,1.0,139780,1.0,0.0,0.0,1.0,1.0,0.0
68,37,1.0,106978,1.0,2.0,0.0,1.0,0.0,1.0
69,25,1.0,110019,1.0,2.0,1.0,0.0,1.0,0.0
70,30,1.0,169102,1.0,1.0,1.0,0.0,1.0,0.0
71,46,1.0,73703,0.0,0.0,0.0,1.0,0.0,1.0
72,51,1.0,141858,2.0,2.0,0.0,1.0,0.0,1.0
73,41,2.0,135959,0.0,0.0,1.0,0.0,1.0,0.0
74,40,1.0,140888,2.0,2.0,0.0,1.0,0.0,1.0
75,66,2.0,157299,2.0,2.0,0.0,1.0,0.0,1.0
76,34,1.0,125187,1.0,1.0,0.0,1.0,0.0,1.0
