"X","Age","Education","Income","Occupation","Settlement.size","Sex_Female","Sex_Male","Marital.status_Married","Marital.status_Single","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9"
0,67,2,124670,1,2,0,1,0,1,-2.31261044926667,-1.78248006813517,-2.23208774679396,-0.21720903721467,-1.40371525698065,0.430665489134321,-0.244361322426394,-1.80411241501588e-16,-1.11022302462516e-16
1,22,1,150773,1,2,1,0,1,0,1.48587396654735,-1.25091216190151,1.89262063431299,0.45387857571963,-0.87789955496022,-0.711948520873191,0.292519588060715,2.84494650060196e-16,4.44089209850063e-16
2,49,1,89210,0,0,0,1,0,1,-1.27133651281408,1.52714045037197,-1.93506043579304,-0.486273455420768,0.0336380725829622,-0.0646586755455508,-0.320416834540522,-1.06858966120171e-15,-8.88178419700125e-16
3,45,1,171565,1,1,0,1,0,1,-2.25304164533953,-0.577161419554048,-0.442556482698093,0.310352411874704,0.421349667976089,-0.578366697244593,-0.0283758806074822,-1.06858966120171e-15,-3.33066907387547e-16
4,53,1,149031,1,1,0,1,0,1,-2.23480127361901,-0.511213314344795,-0.957115914685435,0.186143811615526,0.116054599528675,-0.143887853495439,-0.527141770428005,-1.62370117351429e-15,-6.66133814775094e-16
5,35,1,144848,0,0,0,1,0,1,-1.3893061724188,1.20083784266218,-0.98056408830072,-0.163604643443953,0.753765816284713,-1.10665736796086,0.584396908808825,-1.80411241501588e-16,-3.33066907387547e-16
6,53,1,156495,1,1,0,1,0,1,-2.27443899410385,-0.608359518171294,-0.932233300616623,0.23465106474044,0.201670009466636,-0.273632389128876,-0.512413487802408,-1.73472347597681e-15,-6.66133814775094e-16
7,35,1,193621,2,1,0,1,0,1,-2.55004582010127,-1.27537342928223,0.767309131236204,0.726891597678206,1.16570772346851,0.101166093262735,0.506843450593206,-1.80411241501588e-16,3.33066907387547e-16
8,61,2,151591,0,0,0,1,1,0,0.251547132054666,-1.30053890825177,-2.49625333740046,-1.98457464084562,0.845751506402295,-1.03484082917817,-0.489521666040115,1.73472347597681e-16,-7.7715611723761e-16
9,28,1,174646,2,0,0,1,1,0,-0.324548965782849,-1.31376082413887,1.40330991634833,-1.06899084724918,2.31423238198875,0.367342825188682,0.130290911077839,5.06539254985228e-16,1.11022302462516e-16
10,25,1,108469,1,0,1,0,1,0,2.2493186308627,0.115987588717539,0.764404738804609,0.244216948283509,0.645672908633657,0.393778003620313,0.0815553194361781,5.06539254985228e-16,2.22044604925031e-16
11,24,1,127596,1,0,1,0,1,0,2.16042267730521,-0.104538731368391,0.883097880037196,0.365740534741502,0.870920636233076,0.0559518281737387,0.176085135472712,5.06539254985228e-16,3.33066907387547e-16
12,22,1,108687,1,2,1,0,1,0,1.70937250678382,-0.703150220014847,1.75231922813667,0.180368895251361,-1.3606447509207,0.0196201456151311,0.209473700791039,5.06539254985228e-16,4.44089209850063e-16
13,60,2,89374,0,0,0,1,0,1,-1.15293935147611,0.47270169239263,-3.3746835605489,-0.710117891602911,-0.174073714258263,0.244705955020317,0.202557503869536,7.07767178198537e-16,-3.33066907387547e-16
14,28,1,102899,1,1,1,0,1,0,1.9524513892964,-0.347545430342594,0.992246003273271,0.187893822744614,-0.448962854580253,0.329477477617244,-0.121235757846843,1.73472347597681e-16,2.22044604925031e-16
15,32,1,88428,0,0,1,0,1,0,2.57365718937369,0.873225772306092,-0.27395417524407,-0.167565596114133,-0.0580146846694483,-0.336822278944733,-0.279325112402068,-1.59594559789866e-16,-3.33066907387547e-16
16,53,1,125550,1,0,0,1,0,1,-1.82169319996215,0.245175198413014,-1.44659334768446,0.0620079785613702,0.859904918896958,0.441439069359775,-0.552038178931012,-1.40165656858926e-15,-6.66133814775094e-16
17,25,0,157434,1,2,0,1,0,1,-2.47157328736004,0.464041817107364,1.85607227577276,0.389949073688451,-0.491661591652872,-0.870234589606099,-0.0892593520085402,-2.06779038336435e-15,-5.55111512312578e-16
18,44,2,261952,2,2,1,0,1,0,0.568602844578544,-4.75815508971497,0.805898986401965,1.2830720573738,0.55624353863453,-1.15711011580923,0.333711235516531,7.28583859910259e-16,8.88178419700125e-16
19,31,0,144657,1,1,0,1,0,1,-2.19137918131202,0.910610542811691,1.07269993653008,0.352053691416159,0.339853356662869,-0.438889508469193,-0.433759803045979,-2.4008572907519e-15,-7.7715611723761e-16
20,48,1,118777,1,1,0,1,0,1,-2.01074500253774,0.02463826495681,-0.783324297818945,-0.0243692299212004,-0.201709755732532,0.355273049330341,-0.302902225541927,-1.06858966120171e-15,-4.44089209850063e-16
21,44,1,147511,1,1,0,1,0,1,-2.1126240393772,-0.235674043574592,-0.467815131136643,0.151250101067565,0.151292061099209,-0.165590140484917,-0.0190526524669684,-8.46545056276682e-16,-3.33066907387547e-16
22,48,1,89804,0,0,0,1,0,1,-1.26181260118594,1.54782669667357,-1.87815045192075,-0.485192650603189,0.0463040219963911,-0.0803311158776431,-0.262457123260176,-9.57567358739198e-16,-7.7715611723761e-16
23,44,1,134918,1,2,0,1,0,1,-2.3341604183971,-0.52254860177223,-0.0985969987697597,0.0409472083408816,-1.00634313207695,-0.123853239862021,-0.0653389968358506,-9.57567358739198e-16,-3.33066907387547e-16
24,26,1,103667,1,2,0,1,1,0,-0.192421413011367,-0.53934572155539,1.51190623063105,-1.89375249077288,-0.947439986795056,0.119731847269748,0.137111294236786,7.28583859910259e-16,-1.11022302462516e-16
25,36,1,71909,0,0,0,1,0,1,-1.01464052235403,2.12174351970303,-1.27864940909801,-0.634843168963831,-0.0887295586327073,0.16656711288584,0.383682962996218,1.52655665885959e-16,-4.44089209850063e-16
26,39,1,68264,0,0,0,1,1,0,0.714250701510592,1.14888197874309,-0.729641804054041,-2.33176673799721,0.163924129984527,0.0425744935901357,-0.551933120166494,-1.59594559789866e-16,-9.99200722162641e-16
27,42,2,163025,1,1,1,0,1,0,1.71438407544769,-2.26765964869824,-0.412272115561304,0.36207061585903,0.0135587363845194,-0.387418519393888,0.349695336651819,1.39471767468535e-15,5.55111512312578e-16
28,34,1,119307,1,1,0,1,0,1,-1.83606253185324,0.415582843805249,-0.0125405837810874,-0.0598378382562562,-0.113695357537366,0.271200652425144,0.493170065646195,1.52655665885959e-16,0
29,63,2,175882,1,0,0,1,0,1,-1.9570358401948,-1.43379782619277,-2.66404245991755,0.161417252664991,1.2334949780748,-0.126599127530246,0.126717398476613,1.52655665885959e-16,0
30,36,1,159646,1,1,0,1,1,0,-0.328070854538039,-1.10132634474803,0.738025534669696,-1.4736964501288,0.649326938211428,-0.622700125468306,-0.298867310640694,-3.81639164714898e-16,-4.44089209850063e-16
31,27,0,120131,1,1,0,1,0,1,-2.0104199286254,1.34349314529306,1.2106571169711,0.181545436468032,0.0819392124421172,-0.0339496479311746,-0.255005129842307,-1.95676808090184e-15,-6.66133814775094e-16
32,30,0,162745,1,2,0,1,0,1,-2.56316926073855,0.252830881166472,1.59912858994614,0.438361845303587,-0.460004574291258,-0.935818596356743,-0.362717486595886,-2.62290189567693e-15,-6.66133814775094e-16
33,57,2,87605,0,0,0,1,0,1,-1.10550996044999,0.580977763798478,-3.21579151924265,-0.729952815822008,-0.176807420236853,0.259414631617064,0.369429653304961,9.29811783123569e-16,-2.22044604925031e-16
34,33,1,155569,2,1,1,0,1,0,1.30269555184314,-1.87046787629335,1.48022236802679,0.845080619096481,0.558763872678038,0.557062705585063,-0.377421656074538,-3.81639164714898e-16,3.33066907387547e-16
35,25,0,104505,0,0,0,1,0,1,-1.30701031540199,2.74980102937636,0.270185188982388,-0.198097123407063,0.49475404353108,-0.712255045460225,-0.0746479484558349,-1.73472347597681e-15,-8.88178419700125e-16
36,31,0,143385,1,2,0,1,0,1,-2.47303595604587,0.476389766296826,1.47965870044479,0.315324031892472,-0.687924915839705,-0.593942249848728,-0.457707068153824,-2.51187959321442e-15,-7.7715611723761e-16
37,37,1,127676,1,1,0,1,0,1,-1.91854135417625,0.221405788308446,-0.149430313611702,0.00288935158776604,-0.0352567070798717,0.141766100268284,0.339321317246265,-1.80411241501588e-16,-1.11022302462516e-16
38,37,1,119276,1,1,0,1,0,1,-1.87393298707112,0.330734313515117,-0.177433255489786,-0.0517008046621381,-0.131608454598477,0.287780850981155,0.322746079564726,-1.80411241501588e-16,-1.11022302462516e-16
39,24,0,92542,1,1,0,1,0,1,-1.82587291394994,1.78782427870322,1.28347344883781,-0.00608922993827121,-0.216961412694854,0.42958056002347,-0.139082103851805,-1.62370117351429e-15,-5.55111512312578e-16
40,30,0,163329,2,1,0,1,0,1,-2.58451780075801,0.00068629655300706,1.77691638275247,0.771616334642678,0.992722882747702,0.34759037111046,-0.416306371424216,-2.28983498828939e-15,-3.33066907387547e-16
41,26,1,130921,1,0,0,1,1,0,0.239669189888756,0.00748775315805214,0.780364023492987,-1.65970712875704,1.39155128216066,0.000310605015120521,0.233764648632339,7.28583859910259e-16,-1.11022302462516e-16
42,44,1,133658,0,0,0,1,0,1,-1.44398669881463,1.09072304277016,-1.5122359898579,-0.211311038364597,0.572738984361622,-0.86402085697607,0.051227877641554,-8.46545056276682e-16,-6.66133814775094e-16
43,24,1,155104,1,1,0,1,1,0,-0.151810147843594,-0.70120283089532,1.38204125402793,-1.53656811653647,0.667458224798513,-0.607913202213033,0.373621483801605,7.28583859910259e-16,-1.11022302462516e-16
44,58,2,142335,0,1,1,0,1,0,1.92806391736579,-1.75773054883545,-1.94716257279372,-0.0289141761937517,-0.75024571615196,-1.05861342041038,-0.523554176305947,-4.85722573273506e-17,-3.33066907387547e-16
45,35,1,138387,2,1,1,0,1,0,1.36858418376298,-1.7036736507828,1.31308346547292,0.738976752430255,0.349973658397301,0.866426624689922,-0.524901120477914,-4.92661467177413e-16,3.33066907387547e-16
