,Age,Education,Income,Occupation,Settlement size,Sex_Female,Sex_Male,Marital status_Married,Marital status_Single,cluster
0,67,2.0,124670,1.0,2.0,0.0,1.0,0.0,1.0,3
1,22,1.0,150773,1.0,2.0,1.0,0.0,1.0,0.0,1
2,49,1.0,89210,0.0,0.0,0.0,1.0,0.0,1.0,0
3,45,1.0,171565,1.0,1.0,0.0,1.0,0.0,1.0,3
4,53,1.0,149031,1.0,1.0,0.0,1.0,0.0,1.0,3
5,35,1.0,144848,0.0,0.0,0.0,1.0,0.0,1.0,0
6,53,1.0,156495,1.0,1.0,0.0,1.0,0.0,1.0,3
7,35,1.0,193621,2.0,1.0,0.0,1.0,0.0,1.0,3
8,61,2.0,151591,0.0,0.0,0.0,1.0,1.0,0.0,6
9,28,1.0,174646,2.0,0.0,0.0,1.0,1.0,0.0,4
10,25,1.0,108469,1.0,0.0,1.0,0.0,1.0,0.0,1
11,24,1.0,127596,1.0,0.0,1.0,0.0,1.0,0.0,1
12,22,1.0,108687,1.0,2.0,1.0,0.0,1.0,0.0,1
13,60,2.0,89374,0.0,0.0,0.0,1.0,0.0,1.0,0
14,28,1.0,102899,1.0,1.0,1.0,0.0,1.0,0.0,1
15,32,1.0,88428,0.0,0.0,1.0,0.0,1.0,0.0,1
16,53,1.0,125550,1.0,0.0,0.0,1.0,0.0,1.0,0
17,25,0.0,157434,1.0,2.0,0.0,1.0,0.0,1.0,3
18,44,2.0,261952,2.0,2.0,1.0,0.0,1.0,0.0,2
19,31,0.0,144657,1.0,1.0,0.0,1.0,0.0,1.0,3
20,48,1.0,118777,1.0,1.0,0.0,1.0,0.0,1.0,3
21,44,1.0,147511,1.0,1.0,0.0,1.0,0.0,1.0,3
22,48,1.0,89804,0.0,0.0,0.0,1.0,0.0,1.0,0
23,44,1.0,134918,1.0,2.0,0.0,1.0,0.0,1.0,3
24,26,1.0,103667,1.0,2.0,0.0,1.0,1.0,0.0,4
25,36,1.0,71909,0.0,0.0,0.0,1.0,0.0,1.0,0
26,39,1.0,68264,0.0,0.0,0.0,1.0,1.0,0.0,4
27,42,2.0,163025,1.0,1.0,1.0,0.0,1.0,0.0,2
28,34,1.0,119307,1.0,1.0,0.0,1.0,0.0,1.0,3
29,63,2.0,175882,1.0,0.0,0.0,1.0,0.0,1.0,3
30,36,1.0,159646,1.0,1.0,0.0,1.0,1.0,0.0,4
31,27,0.0,120131,1.0,1.0,0.0,1.0,0.0,1.0,0
32,30,0.0,162745,1.0,2.0,0.0,1.0,0.0,1.0,3
33,57,2.0,87605,0.0,0.0,0.0,1.0,0.0,1.0,0
34,33,1.0,155569,2.0,1.0,1.0,0.0,1.0,0.0,2
35,25,0.0,104505,0.0,0.0,0.0,1.0,0.0,1.0,0
36,31,0.0,143385,1.0,2.0,0.0,1.0,0.0,1.0,3
37,37,1.0,127676,1.0,1.0,0.0,1.0,0.0,1.0,3
38,37,1.0,119276,1.0,1.0,0.0,1.0,0.0,1.0,3
39,24,0.0,92542,1.0,1.0,0.0,1.0,0.0,1.0,0
40,30,0.0,163329,2.0,1.0,0.0,1.0,0.0,1.0,3
