ID,Sex,Marital status,Age,Education,Income,Occupation,Settlement size
100000001,Male,Single,67,University,124670,Skilled Employee,Big City
100000002,Female,Married,22,High School,150773,Skilled Employee,Big City
100000003,Male,Single,49,High School,89210,Unemployed,Small City
100000004,Male,Single,45,High School,171565,Skilled Employee,Mid-sized City
100000005,Male,Single,53,High School,149031,Skilled Employee,Mid-sized City
100000006,Male,Single,35,High School,144848,Unemployed,Small City
100000007,Male,Single,53,High School,156495,Skilled Employee,Mid-sized City
100000008,Male,Single,35,High School,193621,Management,Mid-sized City
100000009,Male,Married,61,University,151591,Unemployed,Small City
100000010,Male,Married,28,High School,174646,Management,Small City
100000011,Female,Married,25,High School,108469,Skilled Employee,Small City
100000012,Female,Married,24,High School,127596,Skilled Employee,Small City
100000013,Female,Married,22,High School,108687,Skilled Employee,Big City
100000014,Male,Single,60,University,89374,Unemployed,Small City
100000015,Female,Married,28,High School,102899,Skilled Employee,Mid-sized City
100000016,Female,Married,32,High School,88428,Unemployed,Small City
100000017,Male,Single,53,High School,125550,Skilled Employee,Small City
100000018,Male,Single,25,Unknown,157434,Skilled Employee,Big City
100000019,Female,Married,44,University,261952,Management,Big City
100000020,Male,Single,31,Unknown,144657,Skilled Employee,Mid-sized City
100000021,Male,Single,48,High School,118777,Skilled Employee,Mid-sized City
100000022,Male,Single,44,High School,147511,Skilled Employee,Mid-sized City
100000023,Male,Single,48,High School,89804,Unemployed,Small City
100000024,Male,Single,44,High School,134918,Skilled Employee,Big City
100000025,Male,Married,26,High School,103667,Skilled Employee,Big City
100000026,Male,Single,36,High School,71909,Unemployed,Small City
100000027,Male,Married,39,High School,68264,Unemployed,Small City
100000028,Female,Married,42,University,163025,Skilled Employee,Mid-sized City
100000029,Male,Single,34,High School,119307,Skilled Employee,Mid-sized City
100000030,Male,Single,63,University,175882,Skilled Employee,Small City
100000031,Male,Married,36,High School,159646,Skilled Employee,Mid-sized City
100000032,Male,Single,27,Unknown,120131,Skilled Employee,Mid-sized City
100000033,Male,Single,30,Unknown,162745,Skilled Employee,Big City
100000034,Male,Single,57,University,87605,Unemployed,Small City
100000035,Female,Married,33,High School,155569,Management,Mid-sized City
100000036,Male,Single,25,Unknown,104505,Unemployed,Small City
100000037,Male,Single,31,Unknown,143385,Skilled Employee,Big City
100000038,Male,Single,37,High School,127676,Skilled Employee,Mid-sized City
100000039,Male,Single,37,High School,119276,Skilled Employee,Mid-sized City
100000040,Male,Single,24,Unknown,92542,Skilled Employee,Mid-sized City
100000041,Male,Single,30,Unknown,163329,Management,Mid-sized City
100000042,Male,Married,26,High School,130921,Skilled Employee,Small City
