day,stockprice,percentreturn,balance,score
1,97.46,-2.55%,97.46,0
2,100.49,3.10%,100.49,0
3,98.39,-2.09%,100.49,2.09
4,96.27,-2.16%,98.32,2.04
5,96.24,-0.04%,98.28,2.04
6,99.44,3.32%,98.28,-1.16
7,97.2,-2.26%,98.28,1.07
8,97.32,0.12%,98.4,1.08
9,99.8,2.54%,100.9,1.1
10,99.03,-0.78%,100.9,1.87
11,99.26,0.23%,101.13,1.86
12,102.75,3.51%,104.68,1.93
13,102.34,-0.40%,104.68,2.34
14,100.09,-2.20%,102.37,2.28
15,98.73,-1.36%,100.97,2.23
16,97.87,-0.88%,100.09,2.21
17,96.58,-1.32%,98.77,2.18
18,93.72,-2.97%,95.84,2.12
19,92.5,-1.31%,94.59,2.09
20,91.56,-1.02%,93.62,2.06
21,94.05,2.71%,96.16,2.1
22,97.36,3.51%,96.16,-1.21
23,95.02,-2.41%,96.16,1.14
24,97.97,3.10%,99.14,1.17
25,96.34,-1.67%,99.14,2.79
26,98.66,2.40%,101.52,2.85
27,100.61,1.97%,101.52,0.9
28,99.4,-1.21%,101.52,2.11
29,98.09,-1.32%,100.18,2.09
30,99.59,1.52%,101.71,2.11
2,98.1,-1.91%,100,1.9
3,95.79,-2.36%,97.64,1.84
4,96.45,0.68%,98.31,1.85
5,96.59,0.14%,98.31,1.71
6,94.36,-2.31%,98.31,3.95
7,97.37,3.18%,101.44,4.06
8,96.98,-0.41%,101.44,4.45
9,96.41,-0.59%,101.44,5.03
10,97.89,1.53%,102.99,5.09
11,95.72,-2.22%,102.99,7.26
12,93.4,-2.43%,100.49,7.08
13,93.46,0.06%,100.55,7.09
14,90.99,-2.65%,100.55,9.56
15,90.74,-0.28%,100.27,9.53
16,93.28,2.79%,103.07,9.78
17,92.15,-1.22%,103.07,10.91
18,95.47,3.60%,106.78,11.31
19,95.32,-0.16%,106.78,11.46
20,92.54,-2.92%,106.78,14.23
21,94.07,1.65%,108.54,14.47
22,91.15,-3.11%,108.54,17.39
23,90.94,-0.24%,108.28,17.34
24,90.12,-0.91%,107.3,17.17
25,91.62,1.66%,109.08,17.45
26,93.9,2.48%,109.08,15.17
27,95.85,2.07%,109.08,13.23
28,95.3,-0.58%,109.08,13.78
29,98.78,3.65%,113.06,14.28
30,97.88,-0.92%,113.06,15.18
2,101.2,1.20%,100,-1.21
3,103.21,1.98%,100,-3.21
4,106.04,2.74%,100,-6.05
5,106.08,0.03%,100,-6.08
6,107.8,1.62%,101.62,-6.18
7,104.84,-2.75%,98.82,-6.03
8,107.17,2.22%,101.01,-6.16
9,110.3,2.92%,101.01,-9.29
10,113.46,2.86%,101.01,-12.45
11,110.47,-2.64%,101.01,-9.46
12,112.63,1.95%,102.98,-9.65
13,110.11,-2.24%,102.98,-7.13
14,107.71,-2.18%,100.73,-6.98
15,110.71,2.78%,103.53,-7.18
16,107.75,-2.68%,103.53,-4.22
17,109.74,1.84%,105.44,-4.3
18,113.22,3.17%,105.44,-7.79
19,110.89,-2.06%,105.44,-5.46
20,113.14,2.02%,107.57,-5.58
21,110.42,-2.41%,107.57,-2.86
22,109.06,-1.24%,106.24,-2.83
23,107.7,-1.25%,104.91,-2.8
24,110.96,3.02%,108.08,-2.88
25,113.52,2.30%,108.08,-5.44
26,113.24,-0.25%,108.08,-5.16
27,116.07,2.49%,110.78,-5.29
28,119.33,2.80%,110.78,-8.55
